Video ID,Title,Duration,Views,Captioned,ASR Languages,Edited Languages
QJ2N_Lycmo0,SearchWorks Fall 2018 Sprint 4 Demo,00:09:48,13,false,en,""
I_hg3NYY46o,Course Reserves FOLIO training,00:44:36,195,true,en,en
qteJfQGEfdI,"Histonets Demo 5 - July 24, 2017",00:03:43,19,false,en,""
DWGXdkpiAW8,Editing Main Menu Labels,00:01:34,87,true,en,en
hD9QBurUfH4,SpotlightServiceCommunityCall 12Apr2019,00:23:58,41,false,en,""
AkchUzidCSc,Stanford Libraries Blacklight Summit Demo 2020,00:06:21,94,false,en,""
DeONvF_4mrU,FRDA Summer 2016 Work Cycle Demo,00:05:31,50,false,en,""
bwYrH26mI9M,SearchWorks Fall 2018 Sprint 6 Demo,00:05:06,8,false,en,""
i07hVzRw8cE,SearchWorks Fall 2018 Sprint 5 Demo,00:05:55,21,false,en,""
tASA5qM6IFo,Argo page design preview,00:09:28,78,false,en,""
kNX_JDEftRU,Sinopia Release 1.1.0 Demo,00:09:46,46,false,en,""
uYJGP8HpZr8,SpotlightServiceCommunityCall 9Nov2018,00:34:36,14,false,en,""
VD3CWWNZ5iU,"Sinopia API (Work Cycle 3, Sprint 3)",00:03:25,75,false,en,""
MQ7TPIqMzPE,Sinopia Sprint 3 Demo,00:04:51,70,false,en,""
lQSBUHaQoDU,SearchWorks Demo - 2017-08-07,00:03:11,55,false,en,""
XjBFmBE3Pck,LD4P2 Knowledge Panels Work Cycle Demo,00:13:00,139,false,en,""
a2wbNu9G61c,DLME Spring 2022 Workcycle: Sprint 2 Demo,00:08:51,36,false,en,""
g_83wone5Uk,"Spotlight/Virtual Tribunals Sprint Demo 1, December 11, 2017",00:05:05,38,false,en,""
HxQ6khYqezU,Spotlight Sprint 6 Demo,00:12:21,117,false,en,""
l25_TWTV1uE,Spotlight Sprint 8 Demo,00:09:36,179,false,en,""
vCmZfHMkBas,Sinopia 3.10.0 and 3.11.0 demo,00:13:07,55,false,en,""
qjZl9t3SVj8,"Spotlight Virtual Tribunals Sprint 5 Demo, January 23, 2018",00:05:08,8,false,en,""
Qoue0bufoz8,Stanford Embed - Sprint 2-3,00:05:51,9,false,en,""
2SWVRX_KcQE,Demo of Accept headers and whole object downloads from Digital Stacks,00:04:18,10,false,en,""
tl0xQbR08_4,How to Get Pages to Show Up on the Main Menu,00:01:35,97,false,en,""
MkkcxBBAj0w,ArcLight@SUL 2024 Work Cycle Demo Video,00:09:31,27,true,en,en
bvqypa1YC_E,GeoBlacklight v0.6.0 / EarthWorks Demo,00:07:51,74,false,en,""
v5j8kzg0WDM,Spotlight on Spotlight Follow up,00:40:16,23,true,en,en-US
70H_Nvr4LpU,SDR Preservation 1.0 Demo,00:05:30,17,false,en,""
B_o4NLewt5g,Withdrawing an Item,00:10:42,116,true,en,en
_gqOos6iZCU,SpotlightServiceCommunityCall 11Jan2019,00:26:29,10,false,en,""
5ZTEuBQ_ad4,DLME   Winter 2021 - Sprint 3 Demo,00:12:23,34,false,en,""
vOfcpd9w0fQ,Sinopia Release 1.0 Demo,00:21:28,260,false,en,""
lQSBUHaQoDU,SearchWorks Demo - 2017-08-07,00:03:11,55,false,en,""
VD3CWWNZ5iU,"Sinopia API (Work Cycle 3, Sprint 3)",00:03:25,75,false,en,""
MNOwnDvCad8,SpotlightServiceCommunityCall demo1 8Feb2019,00:18:16,17,false,en,""
AEjWo_KPKMg,SpotlightServiceCommunityCall 13Jul2018,00:19:11,42,false,en,""
8BqWSEmOK3g,Spotlight Sprint 2 Demo,00:16:04,139,false,en,""
ZBeh1sEcY4c,POD 2022 Workcycle: Sprint 1 Demo,00:05:23,86,false,en,""
cxZcweBcAzM,SearchWorks Demo - 2017-08-21,00:03:11,13,false,en,""
TFfCr9AsgmA,SearchWorks Fall 2018 Sprint 7 &amp; 8 Demo,00:10:15,20,false,en,""
4S0iRzvdk5M,Spotlight Sprint 4 Demo,00:11:27,92,false,en,""
Sy4I7eQmRqQ,Searchworks Performance &amp; Indexing Sprint 0 Demo,00:21:49,60,false,en,""
kkyMIuFJgj8,Sinopia Sprint 0 Demo,00:08:07,196,false,en,""
MNOwnDvCad8,SpotlightServiceCommunityCall demo1 8Feb2019,00:18:16,17,false,en,""
4mhceEZBIo0,SDR PURL + Metrics Work Cycle Sprint 2 Demo Video,00:01:58,9,true,en,en-US
7ZiQsanvgHQ,DLSS PURL + Metrics Work Cycle Final Demo Video,00:04:15,11,true,en,en-US
n_RG6YAhFFs,GeoBlacklight Sprint 4 &amp; 5 Demo,00:08:31,37,false,en,""
qTv33JqUoH8,Spotlight Sprint 7 Demo,00:09:26,232,false,en,""
vOfcpd9w0fQ,Sinopia Release 1.0 Demo,00:21:28,260,false,en,""
IeiQ1b56Cqs,Sinopia version 3.15 demo,00:08:37,290,false,en,""
KlNs9z5YdyY,Introduction to Reactive Stream Processing,00:30:11,107,false,en,""
c-Go9SNdf3M,GeoBlacklight/EarthWorks Sprint 3 Demo,00:03:04,70,false,en,""
cxZcweBcAzM,SearchWorks Demo - 2017-08-21,00:03:11,13,false,en,""
gJNHl8kbvs8,SpotlightServiceCommunityCall demo2 9Aug2019,00:21:08,15,false,en,""
TFfCr9AsgmA,SearchWorks Fall 2018 Sprint 7 &amp; 8 Demo,00:10:15,20,false,en,""
JBE3tvlIOUk,Sprint5 Demo,00:28:04,18,false,en,""
4S0iRzvdk5M,Spotlight Sprint 4 Demo,00:11:27,92,false,en,""
qTv33JqUoH8,Spotlight Sprint 7 Demo,00:09:26,232,false,en,""
W-c0_i2GF-w,Spotlight Service Community Call demo   9July2021,00:37:52,36,false,en,""
5vpiyxlXglA,Lighting the Way - Working Meeting Overview,00:13:22,140,false,en,""
g5qP9T-88_A,SpotlightServiceCommunityCall demo2 11Sept2020,00:24:19,41,false,en,""
s9tL39UrLxw,SpotlightServiceCommunityCall demo2 8Feb2019,00:17:31,42,false,en,""
gJNHl8kbvs8,SpotlightServiceCommunityCall demo2 9Aug2019,00:21:08,15,false,en,""
KlNs9z5YdyY,Introduction to Reactive Stream Processing,00:30:11,107,false,en,""
eyVAT5KG79s,EarthWorks GeoBlacklight Demo - Winter 2018,00:06:44,43,false,en,""
TlCfPLi1YQE,SDR Preservation Sprint 6,00:06:06,13,false,en,""
I2BFyQVeYnc,Sinopia 3.12 - 3.14 demo,00:25:30,117,false,en,""
hOBtGQGZXWk,Editing MARC,00:06:37,221,true,en,en
tfovRjZUCL4,Preservation Sprint 9,00:06:25,14,false,en,""
2DpkLsSd3Mc,GeoBlacklight/Earthworks Sprint 1 &amp; 2 Demos,00:11:26,99,false,en,""
v32_PcFWttg,Sinopia Sprint 14 Demo,00:04:01,116,false,en,""
4ah7S8emq14,"How to Turn On &amp; Off, Rename, and Reorder Facets",00:02:25,57,false,en,""
JBE3tvlIOUk,Sprint5 Demo,00:28:04,18,false,en,""
hrI1U6VDB7c,Web Archiving Crawl Download Automation Demo 3,00:03:30,55,false,en,""
pnpqiIDXHHw,Spotlight Sprint 5 Demo,00:09:42,137,false,en,""
dGI191csHeg,RIALTO Development Website Demo Video,00:06:33,68,false,en,""
R-TYtzcGiI4,Pub Team Sprint 5 Demo,00:02:01,18,false,en,""
-tF3DZzLsxw,Spotlight Service Community Call - demo 2 - 12 February 2021,00:07:16,27,false,en,""
utq-_Fdg6Yw,H2 Sprint 2 Demo,00:06:41,25,false,en,""
jRKeD3g-em0,SpotlightServiceCommunityCall 4May2018,00:43:06,19,false,en,""
ka6fo5yQRzY,SpotlightServiceCommunityCall demo1 9Aug2019,00:16:59,16,false,en,""
MsnaT9XpDOE,DLME Access Team Final Demo,00:22:23,54,false,en,""
6Ked_ScrCWI,Spotlight Service Community Call - demo - 10 Sept 2021,00:33:02,40,false,en,""
LlF0uJe5tr8,"Diacritics, special characters and macros",00:28:18,92,true,en,en
WiVAYgqHkY0,DLME Access Team Sprint 1 Demo,00:08:34,23,false,en,""
pPNJQKU_8dU,Wallscreens - Sprint #2 Demo,00:05:01,28,false,en,""
NtnWbqQnCoA,H2 Work Cycle 2022 Sprint 3 Demo,00:05:39,39,false,en,""
Ws1N5VGMLF8,TACO Sprint 3 Demo,00:12:23,10,false,en,""
TekAzK0_Oxw,Sinopia Sprint 16 Demo,00:05:57,67,false,en,""
x0Re5XoirJU,SearchWorks Fall 2018 Sprint 3 Demo,00:05:39,17,false,en,""
wR0gJuJmP0Y,DLSS Media Player Demo,00:04:00,149,true,en,en
7p6GQA7ELfg,SpotlightServiceCommunityCall 14Feb2020,00:32:58,32,false,en,""
iOqLRjorEks,Spotlight on Spotlight Community Summit - Session 3,00:33:12,27,true,en,en-US
vMBQj54EYwg,BAV / Parker Phase 2 Sprint 2 Demo,00:02:55,22,false,en,""
